account_holder,contact_number,account_number,current_location,transaction_amount,transaction_history,is_mule
Kimberly Spence,(619)458-5873,RCIV20845601628594,"-79.1749225, -85.063469",7363.96,2024-06-21T17:39:49,1
Tracy White,4645413880,PYZP04401374031559,"-27.4613675, 20.192728",1592.67,2024-04-12T04:35:07,1
Jennifer Coffey,883.911.2011,VYXY53977819424077,"-0.551744, -171.380648",9628.83,2024-02-07T08:37:45,1
Robin Davis,228-476-2440,MPXC52754230629189,"24.0341165, 55.105252",1695.12,2023-11-12T23:21:45,0
Lauren Gordon,(724)924-7740,FHRH61790685648685,"-29.234364, -144.279622",5359.27,2023-11-30T20:25:20,1
Danielle Parker,001-234-588-0510x7527,MVWE00709054678260,"70.673455, -149.104547",3594.56,2024-04-12T19:28:41,1
Emily Payne,001-532-469-2901x1235,EQLB49464360157724,"50.1363365, 26.178617",5722.52,2024-01-03T08:37:41,1
Willie Jones,326-847-5662x823,OXSX21407935196303,"-78.877898, 7.918217",8517.56,2024-07-31T18:46:15,0
Christina Berg,001-449-491-5312x3761,VSAR94355718996817,"8.2280765, 85.076029",3218.85,2024-01-12T03:00:34,0
Cynthia Campbell,6255525611,LFJC35405705910653,"-21.189133, -61.704457",1507.56,2023-11-01T09:30:11,0
Stephanie Miller,254.340.1182,WZCC92201933564745,"-85.299921, 7.432054",8497.6,2024-02-16T15:19:16,0
Patricia Parks,(901)374-2189x29176,SEEE22295142434177,"-29.9656755, -40.793581",8056.39,2024-02-13T15:03:53,1
Ashley Austin,+1-960-209-5342x1274,ZESP52774043630637,"-79.510952, -41.724957",3990.39,2024-01-11T14:36:24,1
John Daniels,4833537561,OHME68748165512491,"-29.2307565, -134.710829",7197.43,2023-10-31T09:40:38,0
Sean Reed,001-414-926-0280x77157,GSAG37164648706288,"71.788804, -142.565829",2431.55,2024-06-12T13:24:48,1
Nancy Gilbert,242.647.3742,EWEX36669477477777,"12.3605565, -91.274460",7332.81,2024-01-15T02:33:18,0
Jeffery Phillips,(996)262-3167,PNLI05522466286997,"8.2562655, -6.020810",8454.59,2023-11-15T19:14:04,0
Joseph Moreno,(795)312-0894x3694,LOBC69762105602142,"72.887624, -24.984081",9297.72,2024-06-18T14:08:09,0
Brittany Levine,001-627-481-9063x516,JYEK79486611526671,"6.716766, 71.903990",9995.74,2023-10-23T17:09:49,1
Cynthia Hancock,5357404088,JMXB94582800452024,"-86.874368, -158.784412",5659.41,2024-08-22T02:17:43,1
Lori Edwards,978.675.3786,AOMB85289394322916,"81.788843, 97.740319",3364.76,2024-03-31T13:12:05,1
Charles Evans,001-936-856-7309x7177,LIJA82235840197031,"-0.5479215, 77.604272",6200.32,2024-01-13T20:02:12,0
David Howard,(919)343-4758,ZYKA01058388103243,"11.7082245, -121.076474",7183.09,2024-09-13T03:55:11,1
Jeffrey Flores,820.774.0063x387,BAXZ45505944738238,"76.5455245, 124.629476",2530.91,2023-12-31T20:57:19,0
Paul Thompson,+1-843-790-0488x50742,KBSP56020209074410,"-6.7260125, -102.232221",8825.92,2024-06-01T21:10:13,1
Elizabeth Ramirez,857.291.6661,ACVN76631809281180,"40.882102, -111.647857",3625.74,2023-11-07T21:54:13,0
James Berger,692-267-2827,AQBB84557775535236,"-18.1489915, -106.824244",5571.89,2024-04-01T18:14:13,1
Lauren Peters,676.292.6133,XGCZ05680102657318,"-84.318052, -36.538478",5401.76,2024-02-03T13:55:14,1
Sara Chapman,+1-483-626-7756x48250,GCLJ73437820589599,"44.7962965, 126.514752",8213.67,2024-08-31T21:49:50,0
Lisa Williams,(232)473-3347x048,LVZI61916159311144,"-48.9353625, 2.739972",9523.2,2024-10-10T21:54:02,0
Timothy Mack,+1-843-688-3860x437,TSAG51217963219857,"-29.390087, -151.453988",1608.54,2024-07-11T21:55:09,0
Randy Mason,335-899-7968x618,KYZO46731501177733,"-3.0315385, -159.481175",1474.19,2024-01-21T23:32:21,0
Jeremy Martin,001-337-971-5232x860,DBZD40378302937542,"38.9118575, -11.589696",875.57,2024-07-02T06:10:24,1
Monica Warren,309-225-6915,BDFJ18358593862325,"84.6277005, -18.926271",5937.61,2024-02-29T12:40:20,1
Teresa Bailey,001-408-283-8170x4630,VWIT01600813052060,"29.331092, -117.548550",518.17,2024-04-28T19:36:12,1
Kristina Johnson,001-855-265-3952x7592,MLKM64690221112019,"3.671352, 29.849059",5472.67,2024-03-13T15:32:33,0
Joseph Diaz,001-510-384-3407,MFHA00396246881117,"-8.8171905, -112.741096",6211.41,2024-07-27T21:25:54,1
Christopher Wang,478-471-7822x707,FYWL87559467078340,"56.4358525, 169.695234",4078.23,2024-05-28T09:01:42,0
Mitchell Burnett,758.397.4362,AUFJ03186054066020,"35.2386955, -7.266572",1096.46,2024-05-21T12:26:04,0
Richard Sellers,733.937.7934,ISWP69872997551546,"-69.486064, -121.965990",4839.84,2024-08-06T04:55:33,1
David Stephens,502.542.0114x254,DWZD20765634678455,"-8.835535, -55.161695",9157.37,2024-08-20T01:41:57,1
Christopher Bailey,838-304-2698x6984,ZWQO95051055142776,"-79.887597, -138.737453",2544.25,2023-12-24T08:52:32,1
Amanda Lane,871-798-5199x10284,MTFX34888731578351,"-27.8040335, 75.091187",2767.26,2024-05-23T18:24:30,1
Joshua Stephens,(979)227-0791x4479,EHNK62147043878540,"-84.2134645, -142.056834",379.75,2023-12-10T05:17:23,0
Felicia Blake,404.339.7706x7113,BDFQ06030905347647,"71.768842, 113.620018",6173.98,2024-09-19T06:16:56,0
Aaron Parker,(494)311-4602,YEPT07318868985965,"-71.216576, -89.584917",5611.75,2024-02-11T10:26:17,1
Joseph Watkins,751-826-5799x657,VEOJ81223988962923,"76.1239895, -158.045344",1114.0,2024-02-20T22:42:03,0
Trevor Dominguez,802.519.5874x7585,UXYY11328428227039,"20.9686015, -163.294909",8007.55,2024-07-29T19:40:29,1
Melissa Bates,+1-572-634-7978x402,KIJZ37590098987572,"-5.1156075, 85.832593",2745.47,2024-07-12T12:29:10,1
Christina Davila,405.999.5507x32546,ALHB10648928391234,"35.8515245, -29.189803",2071.93,2024-06-01T09:32:48,1
Scott White,992.373.6213x6853,LJTB21866409652366,"-56.7451865, 131.769012",8252.02,2024-08-20T08:03:09,1
Kevin Salazar,790.462.2490,IDIX40588553744338,"6.829981, 166.009626",7409.1,2024-09-08T18:35:24,1
Yolanda Williams,(658)931-4526x275,HKRM56386863072711,"-2.666139, -22.651715",5785.49,2023-11-16T16:07:00,1
Sandra Owens,001-684-260-0877,IYZL06356060157917,"-45.862069, 94.210586",9662.0,2023-12-01T22:38:19,1
John Nelson,(566)629-1736,RPNL78148911446175,"65.8349265, -87.409239",5442.12,2024-01-02T14:43:46,0
Craig Terry,001-767-362-0034x65515,XLCL75568732552021,"-31.8248525, -67.673767",2375.82,2024-07-02T01:04:14,0
Mrs. Barbara Marshall DDS,+1-984-359-6765,FARS23356774816693,"71.0891875, -39.662725",1139.23,2024-07-06T06:16:32,0
Vanessa Morgan,422.835.5779x171,FIQK39132180417995,"4.3786285, -39.018906",5938.09,2023-12-09T17:03:17,0
Robin Hughes,9742239828,OTQJ99115034646285,"-24.7710005, 7.902945",1148.93,2023-10-31T08:14:52,0
Jennifer Espinoza,(985)326-3294,VZBE12532483790556,"-52.8292915, -44.336851",7970.2,2024-01-09T00:54:13,0
Jacob Edwards,577-481-1866,JBSK14176594500865,"70.2702795, -179.985474",6024.26,2024-10-02T21:09:31,0
Jamie Hayes,838.670.9390x171,UXMA12195160110148,"-67.6185325, 94.376911",2843.96,2023-11-20T22:28:43,1
Jacob Hamilton,(418)781-0621,URUK35705539178599,"-3.1625865, 40.385999",9153.22,2024-06-16T18:09:28,0
Blake Williams,(231)360-3058x5042,LCRC54632460285476,"-37.8102195, 44.079953",72.39,2024-07-26T09:54:24,1
Janet Crawford,001-968-658-1897x614,ITCW20681490803023,"-33.676255, -160.879802",4344.73,2024-07-06T02:12:26,0
Jonathan Russell,575-334-4724,WYHQ56255729004941,"-81.452730, -38.381876",1369.81,2024-06-14T04:18:32,0
Amber Weaver,410-579-4156x2208,WZZA60746583180914,"-88.892147, 169.148288",8245.0,2024-08-10T12:41:37,0
David Osborne,772-907-4024,TVXZ60382629424714,"62.834663, -82.797904",7993.74,2024-09-06T19:03:28,0
Michael Marquez,001-974-235-9738,TNBA57154169879514,"16.1986115, 28.821719",1065.61,2024-10-13T13:13:12,0
Brian Burke,271-495-9251,UGET07378692035771,"-42.3714785, -56.076234",7840.38,2023-10-29T13:11:06,0
Michelle Porter,400.525.4980x263,BHHF93724629014084,"5.562460, 32.453269",6426.47,2023-12-16T04:33:04,0
Christopher Carroll,001-562-362-9139x056,RNQK36203875048048,"43.6086365, 102.543641",2331.29,2024-01-02T12:29:38,0
Richard Campbell,553.348.3253x860,ZGPG70320214141974,"35.228308, 17.882386",4360.33,2024-02-23T16:43:54,0
Kara Ramos,001-314-492-0724x03462,UTYA89260147082382,"-32.156786, 73.627959",6012.34,2023-11-18T23:10:06,1
Natasha Hardy,870-380-1917,FHHP77607680173073,"30.1081435, 96.389104",8183.46,2024-08-21T07:56:30,0
Anthony Ramirez,234-909-0295,RXFO14551676804816,"20.0527045, 135.194985",8357.89,2024-07-23T02:23:39,0
Courtney Malone,788.671.1876,LSEE34309693074546,"68.870957, 142.417524",8332.97,2024-10-11T20:38:54,1
Laura Campbell,001-525-278-6086x692,QFHZ39193292015548,"61.929088, -87.424572",1345.08,2024-06-27T10:16:52,1
Alex Paul,649-903-7152,KVWP10390264678987,"-47.072052, 11.202559",4105.68,2024-05-29T04:58:14,1
Heather Carter,(446)843-3733x8527,LUEN00887648684702,"41.7441915, -129.308707",8703.66,2024-10-06T12:35:57,1
Tyler Young,001-764-914-7629x1580,EIYG46206058704226,"88.546510, -73.906851",4750.37,2023-12-30T11:49:10,1
Jonathan Lee,642-877-1152x997,KCXZ99432412540583,"-37.015480, -95.122414",5825.22,2024-09-11T12:45:34,0
Lauren Compton,001-732-504-7341x72281,BWQN67573052397680,"14.5515605, -69.956471",6396.67,2024-09-26T05:40:56,1
Victoria Carter,+1-251-677-9577x2202,UISL36935484272555,"-5.7383455, 9.292875",2517.87,2024-02-26T10:59:02,0
Shannon Savage,492.750.6306,FNZQ18777643039020,"-50.0385525, -155.481474",8793.42,2024-08-19T14:16:08,1
Michelle Gilbert,+1-564-804-0393,TNEF38420507996765,"40.1554655, -35.717097",3891.74,2024-02-17T11:22:22,0
Vickie Wade,001-833-755-5881x620,MCYY26359308772856,"-80.954645, 100.732754",2148.98,2024-04-22T14:41:50,1
Nancy Glass,+1-361-893-0088x230,UKJP93118954555901,"-68.395647, 63.053041",813.4,2024-09-09T07:10:55,1
Brian Newton,+1-206-476-8771x160,QMEZ58421315338559,"-9.931422, -109.832104",7268.5,2024-01-05T09:36:23,0
Kimberly Henderson,001-892-651-3351,FEVV82793172246964,"-47.476123, 28.051829",1263.77,2024-03-26T21:00:23,1
Gabrielle Woods,(919)435-5948,LXWH18060216162364,"32.809422, 178.731362",9343.45,2024-02-11T20:12:13,1
Morgan Schwartz,316.393.0961x27326,WSXB40941208518815,"-51.4131385, -105.779634",5134.13,2023-12-17T18:55:01,1
Stephen Adkins,519-407-9434x333,YAPX86754934472491,"57.2768235, -82.551548",8116.73,2023-12-30T05:18:36,1
Jennifer Melendez,+1-279-479-8055x8269,LMGS31421395814334,"-88.9277985, -130.993292",7274.34,2024-08-12T14:15:42,1
Brittany Smith,001-986-672-3783x01039,ZRCK42650612215204,"-56.287106, -0.754810",6234.53,2024-02-02T04:56:23,1
Derek Taylor,(661)733-8928x42293,SIXM15675467435408,"-7.9326695, -1.255700",3135.64,2024-02-12T21:27:10,1
Frank Johnson,5565503446,WXUG53706912085784,"26.030584, -145.619349",7072.67,2024-01-09T12:11:47,1
Gregory Sanchez,(557)524-5387x145,FOWF10794331995368,"55.8909465, -168.584349",422.41,2024-02-01T11:37:53,1
Sergio Brown DDS,623.329.8410,OWIO74118594013423,"-19.103459, 60.969605",4478.53,2024-01-30T14:56:51,0
Wendy Baker,451-913-8204,VKSS97678402337317,"47.7270875, 5.537645",2256.75,2024-09-24T03:57:19,0
Anthony Lynch,(446)274-8726,NMLO83978982849321,"-26.2489875, -35.812730",7323.57,2024-04-04T18:40:40,0
Carolyn Bird,6366198990,KMVV94809541845345,"-63.9018675, 15.670750",5866.29,2023-10-22T13:52:30,1
Vanessa Stanley,+1-715-527-3157x96130,OTYT03469889395108,"88.0567915, -28.043538",1923.14,2023-12-22T20:25:51,0
Nichole Roberts,716-631-8528,DBAE82960297344162,"-73.412564, -138.533029",2367.89,2024-08-26T09:16:42,1
James Campbell DVM,+1-933-808-8817x326,PJMF02327221117207,"37.0388085, 113.311682",1575.56,2023-11-20T10:04:35,0
Jason Bell,566.816.2744,YENK21755916012603,"-81.654296, 12.886948",9684.53,2023-12-15T02:57:39,0
Kaitlyn Thomas,366.783.1567x30729,HOLU11018061970294,"9.3251735, -80.488094",8055.3,2024-02-05T19:13:52,0
Matthew Williams,3835396385,YQAM03515122960461,"54.442494, -159.904681",2824.85,2024-05-10T06:07:56,1
Brittany Tucker,(603)563-5908x9786,SABQ87042382665075,"-26.955138, 170.093364",4791.49,2024-09-02T07:14:44,1
Toni Bell,(787)357-2002,YVXS66652886770584,"-19.420434, -83.927730",6355.19,2024-08-15T17:46:52,0
David Butler,(943)352-9815x729,KGVW41499502058730,"-23.951737, -34.576729",6795.91,2023-10-29T07:39:39,0
Aaron Williams,001-794-446-0149,JKKU05572345394551,"4.0920845, 6.522938",6982.16,2023-11-24T08:15:24,1
Susan Bradley,4512704214,JHFO83869400666975,"56.3426815, -93.185865",2440.67,2023-11-18T16:45:33,1
Kelsey Edwards,717.557.7093,IRHU34786063250500,"37.1894975, 29.004748",8368.39,2024-10-13T13:49:23,1
Donald Burton,561-280-1041,MXYX72949519746412,"-20.6793305, 173.878182",6200.66,2024-09-05T09:11:03,1
Albert Smith,+1-355-248-6227x953,NMWM49556936744445,"-75.3442275, 146.071759",2635.67,2024-04-25T14:16:02,1
Andrew Giles,812.565.4045x4297,VMKI61121836465671,"-60.6057385, -82.834340",5600.83,2024-03-24T15:18:29,0
Benjamin Rose,204.234.6252,XKCD44534526583912,"-0.577573, 23.091551",871.26,2024-02-10T10:57:58,0
Kristy Parks,863-429-3665x739,JUWQ18268392398273,"-58.254125, 101.582691",7348.64,2024-02-04T04:18:02,1
Laura Freeman,289.716.9549x7751,PHOH54581035635949,"-16.3004315, -100.422978",6769.32,2024-03-16T01:06:26,0
Christopher Bird,686.832.9439,BJRQ25725738433073,"10.4563475, -17.468860",7364.99,2024-05-25T01:44:53,1
Leslie Lopez,797.581.7495,DPAY77242378405980,"-3.505817, 130.371197",3387.67,2023-12-03T15:11:57,1
James Cruz,500-228-7787,AQGA11813530412455,"47.000459, -129.796398",997.7,2023-10-22T19:20:07,1
Diana Thomas,616.280.8259,BYHO01878717953559,"-20.880788, -99.950080",7192.32,2024-06-03T04:09:04,0
Sarah Baxter,001-779-311-6249x8467,KSMF03053680777974,"39.620161, 49.036195",7447.36,2023-12-28T03:21:43,1
Jenna Terry,(639)280-3360,PPDK23535405064326,"4.9756905, -165.872709",6721.54,2023-10-24T19:04:26,1
Daniel Green,(706)324-2348x3914,BLWM87443625373217,"53.4631235, -139.390331",8384.87,2024-07-14T16:45:50,1
Wayne Aguilar,001-922-350-3069x18296,ZEZH44786437335629,"7.097479, -30.274178",2584.3,2024-05-31T17:35:40,0
Heather Murphy,001-664-985-6229x8335,FILY80371309447384,"-64.729793, 174.304226",7293.64,2023-12-17T15:27:53,1
Christopher Welch,(240)820-2575x546,FWYA33095111186759,"73.6574765, -171.680822",1057.76,2024-09-28T21:51:08,1
Mark Barnes,(495)527-5399x3536,SOXT54749181954383,"36.4638785, -99.828829",5548.38,2024-07-29T14:28:33,0
Sarah Morris,539-447-8053,GXSR79310142948469,"-60.7574685, -72.606893",8908.76,2024-07-27T11:34:25,0
Susan Cortez,411-202-3134x23251,ZSXA24124146718008,"-59.2880865, 86.614335",6653.65,2024-06-15T23:22:24,1
James Hanson,001-864-508-4052x6794,EENA01682407420374,"26.493791, 141.062708",2592.16,2024-04-23T20:51:47,1
Natasha Tucker DDS,(633)772-7708,GYWQ44599323125580,"-12.8191585, -168.097351",6580.59,2023-12-26T02:58:15,0
Kristen Stevens,927-438-8182x10837,DXYR80531936320301,"-61.782409, 49.030098",2598.01,2024-09-03T10:18:17,1
Krista Livingston,(924)216-2352x4892,IFFD60368900176497,"32.490420, -115.465041",8154.85,2024-07-15T00:01:33,0
Lisa Wang,+1-529-462-8329,RTIP49061679872228,"6.2583185, 98.178657",7483.42,2024-05-01T05:49:45,0
Mary Harris,271-837-6307x68592,MKMJ63259463954571,"30.422009, -170.204972",396.87,2024-02-21T08:18:04,1
Willie Williams,378-410-1799,YNQR58519675621192,"85.3168985, 38.484040",2416.32,2024-10-08T08:03:01,1
Ashley Mitchell,8186323039,CZQR83365951856075,"-0.709410, 131.024644",3740.47,2024-10-02T01:15:43,0
Emily Porter,(474)618-0086x27184,QMXN71759952102384,"16.7590585, 75.817863",8387.19,2024-02-24T17:27:17,0
Curtis Gutierrez,+1-468-563-7717x4833,BSIK95805988808181,"-40.9737605, 25.659514",4806.69,2024-02-24T00:02:39,1
Jessica Gutierrez,515-566-8670,SVZV30111510357578,"71.076280, -45.140662",9402.77,2024-02-04T21:34:22,1
Jessica Maldonado,001-388-795-0020x9104,UWXE87468118655356,"-3.222806, -128.671664",7934.8,2024-06-17T23:32:55,1
Richard Hall,9297065548,MWFC78717713301355,"-75.270300, 37.512303",8147.62,2024-03-25T21:19:29,0
Melissa Hunter,(800)950-2663x7099,XUBL45298680078106,"-47.5170745, 81.104153",8832.96,2024-05-16T10:44:49,1
Donald Conley,538.884.0302,MMGW07766589708104,"-82.8286065, -120.954206",7699.63,2024-02-26T06:35:37,1
Katherine Brady,3558805490,RASV45771436866412,"70.8934215, -104.841469",665.84,2024-04-11T09:12:37,0
Justin Lucero,604.239.6972,XVCM82420471506643,"87.7183935, -9.080067",5250.53,2024-04-11T04:05:21,0
Erik Martin,408-768-2807x3070,DSMF40925548078521,"71.094426, 25.633716",1919.91,2024-09-21T01:14:45,0
Brandon Howe,(524)670-9373,XPDY01159380183376,"-40.759006, 55.040099",5642.28,2024-07-12T19:43:32,1
Joel Park,947.245.1630x4041,UMVT21970317013044,"84.523050, -24.607451",5357.71,2024-05-27T09:02:35,0
Thomas Phillips,+1-295-797-5601x299,HPCL81130288731119,"39.155535, 79.598959",6961.44,2023-11-01T15:08:42,1
John Nelson,+1-749-370-3914,SRMQ87509055328501,"25.006702, 170.344030",2515.09,2023-11-06T16:09:07,0
Julie Lutz,928.517.4181,MNOQ09251992626010,"17.9716005, -137.360012",5284.08,2024-01-09T16:41:28,1
Kimberly Taylor,(470)671-6528x90460,ZMGX59182068978908,"6.333559, 16.616422",8002.88,2024-05-27T19:34:59,1
Steven Marks,(759)518-5393x9488,QOJZ79366034342903,"69.899024, 153.583395",8024.87,2023-12-14T21:50:34,1
Christopher Gomez,3238359402,FQDO51142449381760,"-7.589927, 109.478091",484.25,2024-01-08T05:11:15,0
Jacqueline Perez,7176509154,HIMQ80541703439137,"-89.5420775, -83.622713",5498.83,2024-08-08T15:59:36,1
Andrew Gates,+1-306-626-5726x468,OOXV05221709325159,"25.168809, 98.399503",3567.01,2023-11-22T21:14:43,1
Michael Williams,001-704-213-7997x8317,NJBI79749969674261,"-52.7503385, -48.703419",5879.81,2023-12-21T23:32:45,0
Jennifer Garcia,001-235-568-5029,EPGX89323567719144,"-82.9115745, -168.227937",40.93,2024-02-29T22:33:47,0
Barbara Anderson,683.683.4934,AUEN18526693244808,"-45.508698, 102.249991",3845.5,2024-03-01T09:20:35,1
Shawn Mejia,001-519-971-0076x4476,XSJH19643124629394,"-18.8940615, -73.702174",8585.11,2024-09-19T18:55:41,0
Gregory Bowers,(572)316-1165x4371,JBZM23878158288878,"-15.9931845, 158.535989",3546.46,2024-07-22T11:40:00,0
Matthew Vega,+1-681-317-3329x47243,MRJR00494075083570,"-74.669402, -153.520075",3864.47,2024-08-03T21:12:40,0
Michelle Pierce,318-432-7681x25960,TXWS36979749831149,"-87.1905565, -109.716790",7715.51,2024-08-26T05:44:38,0
Donald Short,001-806-969-8616x765,BPLC77190255157391,"-79.174026, 96.727216",4326.32,2024-01-17T11:44:57,1
Diane Grimes,4223982364,YNDB09220749794984,"-73.9854685, -112.241047",8797.08,2024-07-25T02:09:27,1
Joyce Liu,357-663-4671,BHMP07022386289085,"-73.5047725, 115.905145",1510.12,2024-04-16T16:44:55,1
Dustin Butler,(896)611-8770,RVDS44885016890399,"56.700996, 62.412944",1322.45,2024-01-28T13:00:04,0
Robert Smith,843-338-2581,QPRV07986202167611,"-87.041987, 45.721807",7623.9,2023-11-28T15:14:50,0
Catherine Robertson,(599)435-8667,KWOP97438265190042,"19.7335195, 166.926899",9205.47,2024-07-04T07:06:08,1
Alicia Perez,(893)949-8411x33902,TBFG79221096073315,"-27.0399215, -143.238392",8333.83,2024-01-27T09:16:42,0
Dean Carroll,+1-504-453-0352x86851,XVAV09032988146604,"-33.222743, -17.078627",8098.5,2024-09-13T20:34:12,1
Michael Spence Jr.,(460)891-7593x731,AECB63966879795747,"-72.163829, 13.631079",9139.25,2024-05-08T16:14:36,1
David Moody,001-386-734-5117x132,YQBA80973447441688,"-52.7572785, 27.969496",4616.37,2023-12-08T00:19:54,1
Alyssa Schmitt,594-770-1541,NRYC88581293323559,"72.3703175, 94.890924",8571.65,2023-11-17T16:34:36,1
Jeremy Scott,+1-871-256-3796x2064,NXGP39394880173857,"-68.279554, 88.835507",5810.63,2024-10-05T17:07:09,1
Timothy Hill,5659330643,RZSO45184310253890,"67.3176455, 0.889132",4577.59,2024-03-30T14:05:05,1
Jacqueline Harmon,581.317.2354,ZAPM75955327288120,"9.655185, 61.234448",1882.95,2023-12-20T09:35:20,1
Susan Middleton,561-832-8028,LXTB12680103533642,"-17.240556, -171.479000",4436.83,2024-02-18T13:00:38,0
Kyle Miles,451.866.4919x232,WPHT46396556237040,"-78.8926455, -151.084525",4598.14,2023-12-11T10:19:58,0
Rachael Smith,+1-626-822-1855x4193,SLYD06098834759756,"89.015079, 4.115721",4477.07,2024-08-18T03:10:14,0
Tina Cox,+1-709-351-5481x3056,QXYD38226563421819,"-68.5650445, 128.535995",1097.05,2024-06-25T02:45:26,1
Morgan Miller,2588822655,WOOX75163850295948,"-18.234728, 38.957758",7137.13,2023-12-10T23:06:18,1
Cory Sanchez,625.949.6405x3256,FBWZ58614743518250,"-88.2918885, -52.312426",6494.73,2023-12-31T21:08:24,0
John Davis,001-967-860-5405x9196,VKNU04057882754843,"-84.409909, -38.902435",4348.67,2024-06-25T00:23:12,0
Scott Morgan,(790)759-7369x2609,RIRL76071246978172,"-63.2017325, 49.057777",4253.5,2024-01-16T02:06:31,0
Morgan Boyd,+1-709-868-5990,YNEY38663641128154,"15.905870, -81.379858",410.89,2024-10-05T20:26:22,1
April Logan,+1-437-633-2827x65617,FLJV83934849855153,"5.4124555, 177.036747",1265.59,2024-05-25T14:27:59,0
Patricia Chambers,9272186500,AKWY89239106199676,"-76.2408515, -147.185484",5024.04,2023-12-04T19:23:31,1
Erik Carter,851-988-7377,IRXE44499998560520,"82.106861, -66.599352",5395.14,2024-05-22T22:07:40,0
Vernon Scott,+1-419-857-4158x25393,UQYM69450131695592,"-19.982168, 51.378749",3953.82,2024-09-10T05:58:36,1
James Hayes,+1-492-637-9942x1510,QNJK13776262942662,"-24.6632325, -119.256877",1625.97,2024-04-27T18:05:32,1
Taylor Jenkins,(390)842-8105x8562,OAGP25048858165832,"15.1248275, 57.896221",7600.66,2024-04-02T19:09:22,1
Tiffany Pitts,001-976-699-7624,WDFB36711075140760,"67.931862, 29.704699",5996.8,2023-10-22T13:33:07,1
Shari Clark,+1-834-398-4072x32263,SVSG04954653606710,"58.4390335, 153.936319",4386.11,2024-10-07T12:40:29,0
Edward Peterson,001-913-382-9562,LOQO67325610472831,"6.146876, 161.479942",2048.55,2023-11-05T06:02:10,1
Raymond Osborn,001-419-617-7491x9451,ZMTU73373185952683,"45.3189045, -174.045699",4394.54,2023-11-02T22:56:50,1
Jocelyn Leblanc,547-447-2884,TPFW39239661440879,"25.906189, -10.337884",9035.51,2024-08-01T00:19:53,1
William Gregory,+1-817-377-8496x97994,EVLL84224501808037,"57.9266005, -152.060905",4096.16,2024-02-11T08:26:54,1
Colton Fisher,6633777552,ZMTM13425132939298,"-15.612857, 15.375170",4579.17,2023-12-20T22:24:59,1
Robert Henderson,508.922.2660x56543,HKFT16184211416028,"-79.352581, 179.435295",4546.69,2023-12-09T16:18:17,1
Christopher King,001-787-598-4877x825,TIKY36861638917795,"28.210022, 16.810631",837.18,2024-05-25T18:20:59,1
Ronald Palmer,001-261-363-8211x6913,XSAK48686092695030,"33.902940, -92.931720",2200.34,2024-05-31T07:53:45,0
Joseph Johnson,745.378.2997,ECGQ67642343703574,"57.6891375, -92.485565",9711.21,2024-07-10T16:05:56,0
Amy King,001-501-201-0836x377,MLBD72230120436007,"18.8848825, -118.138626",7466.26,2024-05-05T13:43:45,1
Patrick Martin,343-301-0118x358,NCLV34001337013408,"23.5953635, -38.523365",7808.6,2024-01-08T18:37:58,0
Lance Suarez,2099793666,DFYR71310804695178,"-82.449732, -50.115400",5606.49,2024-09-25T03:54:17,0
Barbara Walters,9154708087,UNTL93995919519580,"-0.4435535, 44.330194",7162.98,2024-06-17T04:17:57,0
James Richmond,476.989.4190,RRTL08386863134313,"-4.5397655, -73.619382",8720.98,2023-12-01T22:25:48,0
Michelle Davis,829-457-3223,FFPD38823113848960,"-2.767053, -75.767922",1509.3,2024-05-22T06:26:04,1
